year,level,task,variant,source_pdf,source_page,literal_text,formula,visual,control,interaction,scorer,state_reload,browser_evidence,final_status
2026,base,1,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,8,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,1,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,8,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,1,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,8,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,1,4,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,8,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,2,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,9,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,matching_selects_4,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,2,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,9,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,matching_selects_4,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,3,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,10,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,3,2,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,10,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,N/A,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,3,3,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,11,PASS_PRIMARY_OR_LAYOUT_SECONDARY,N/A,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
2026,base,4,1,МА-11 ЕГЭ 2026 ДЕМО_базовый.pdf,11,PASS_PRIMARY_OR_LAYOUT_SECONDARY,PASS,PASS,numeric_input,PASS_REAL_DOM_CONTROL,PASS_OFFICIAL_CANONICAL_FORMS,PASS,tests/evidence/browser-evidence.json,PASS
