year,level,task,official_example,source_page,control,official_answer_or_max,condition_asset,solution_asset,source_gate,visual_gate,interaction_gate
2026,profile,1,1,4,numeric_input,61,condition-1-1.webp,,PASS,PASS,PASS
2026,profile,1,2,4,numeric_input,18,condition-1-2.webp,,PASS,PASS,PASS
2026,profile,1,3,4,numeric_input,40,condition-1-3.webp,,PASS,PASS,PASS
2026,profile,1,4,5,numeric_input,5,condition-1-4.webp,,PASS,PASS,PASS
2026,profile,2,1,5,numeric_input,12,condition-2-1.webp,,PASS,PASS,PASS
2026,profile,2,2,5,numeric_input,13,condition-2-2.webp,,PASS,PASS,PASS
2026,profile,2,3,5,numeric_input,4,condition-2-3.webp,,PASS,PASS,PASS
2026,profile,3,1,6,numeric_input,"1,125",condition-3-1.webp,,PASS,PASS,PASS
2026,profile,3,2,6,numeric_input,36,condition-3-2.webp,,PASS,PASS,PASS
2026,profile,3,3,6,numeric_input,104,condition-3-3.webp,,PASS,PASS,PASS
2026,profile,3,4,6,numeric_input,9,condition-3-4.webp,,PASS,PASS,PASS
2026,profile,4,1,7,numeric_input,"0,1",condition-4-1.webp,,PASS,PASS,PASS
2026,profile,4,2,7,numeric_input,"0,38",condition-4-2.webp,,PASS,PASS,PASS
2026,profile,4,3,7,numeric_input,"0,3",condition-4-3.webp,,PASS,PASS,PASS
2026,profile,5,1,7,numeric_input,"0,657",condition-5-1.webp,,PASS,PASS,PASS
2026,profile,5,2,7,numeric_input,"0,15",condition-5-2.webp,,PASS,PASS,PASS
2026,profile,5,3,8,numeric_input,"0,79",condition-5-3.webp,,PASS,PASS,PASS
2026,profile,5,4,8,numeric_input,"0,78",condition-5-4.webp,,PASS,PASS,PASS
2026,profile,6,1,8,numeric_input,7,condition-6-1.webp,,PASS,PASS,PASS
2026,profile,6,2,8,numeric_input,7,condition-6-2.webp,,PASS,PASS,PASS
2026,profile,6,3,8,numeric_input,93,condition-6-3.webp,,PASS,PASS,PASS
2026,profile,6,4,8,numeric_input,3,condition-6-4.webp,,PASS,PASS,PASS
2026,profile,7,1,9,numeric_input,"0,75",condition-7-1.webp,,PASS,PASS,PASS
2026,profile,7,2,9,numeric_input,5,condition-7-2.webp,,PASS,PASS,PASS
2026,profile,7,3,9,numeric_input,125,condition-7-3.webp,,PASS,PASS,PASS
2026,profile,8,1,9,numeric_input,5,condition-8-1.webp,,PASS,PASS,PASS
2026,profile,8,2,10,numeric_input,6,condition-8-2.webp,,PASS,PASS,PASS
2026,profile,8,3,10,numeric_input,"1,6",condition-8-3.webp,,PASS,PASS,PASS
2026,profile,9,1,11,numeric_input,45,condition-9-1.webp,,PASS,PASS,PASS
2026,profile,9,2,11,numeric_input,5,condition-9-2.webp,,PASS,PASS,PASS
2026,profile,9,3,11,numeric_input,4900,condition-9-3.webp,,PASS,PASS,PASS
2026,profile,10,1,12,numeric_input,19,condition-10-1.webp,,PASS,PASS,PASS
2026,profile,10,2,12,numeric_input,15,condition-10-2.webp,,PASS,PASS,PASS
2026,profile,10,3,12,numeric_input,8,condition-10-3.webp,,PASS,PASS,PASS
2026,profile,11,1,12,numeric_input,"0,1",condition-11-1.webp,,PASS,PASS,PASS
2026,profile,11,2,13,numeric_input,5,condition-11-2.webp,,PASS,PASS,PASS
2026,profile,11,3,13,numeric_input,32,condition-11-3.webp,,PASS,PASS,PASS
2026,profile,12,1,14,numeric_input,5,condition-12-1.webp,,PASS,PASS,PASS
2026,profile,12,2,14,numeric_input,-6,condition-12-2.webp,,PASS,PASS,PASS
2026,profile,12,3,14,numeric_input,16,condition-12-3.webp,,PASS,PASS,PASS
2026,profile,12,4,14,numeric_input,-18,condition-12-4.webp,,PASS,PASS,PASS
2026,profile,13,1,15,extended_textarea,2,condition-13-1.webp,solution-13-1.webp,PASS,PASS,PASS
2026,profile,13,2,15,extended_textarea,2,condition-13-2.webp,solution-13-2.webp,PASS,PASS,PASS
2026,profile,14,1,15,extended_textarea,3,condition-14-1.webp,solution-14-1.webp,PASS,PASS,PASS
2026,profile,14,2,15,extended_textarea,3,condition-14-2.webp,solution-14-2.webp,PASS,PASS,PASS
2026,profile,15,1,16,extended_textarea,2,condition-15-1.webp,solution-15-1.webp,PASS,PASS,PASS
2026,profile,15,2,16,extended_textarea,2,condition-15-2.webp,solution-15-2.webp,PASS,PASS,PASS
2026,profile,16,1,16,extended_textarea,2,condition-16-1.webp,solution-16-1.webp,PASS,PASS,PASS
2026,profile,16,2,16,extended_textarea,2,condition-16-2.webp,solution-16-2.webp,PASS,PASS,PASS
2026,profile,17,1,17,extended_textarea,3,condition-17-1.webp,solution-17-1.webp,PASS,PASS,PASS
2026,profile,17,2,17,extended_textarea,3,condition-17-2.webp,solution-17-2.webp,PASS,PASS,PASS
2026,profile,18,1,17,extended_textarea,4,condition-18-1.webp,solution-18-1.webp,PASS,PASS,PASS
2026,profile,18,2,17,extended_textarea,4,condition-18-2.webp,solution-18-2.webp,PASS,PASS,PASS
2026,profile,19,1,18,extended_textarea,4,condition-19-1.webp,solution-19-1.webp,PASS,PASS,PASS
2026,profile,19,2,18,extended_textarea,4,condition-19-2.webp,solution-19-2.webp,PASS,PASS,PASS
