page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
--------------------------------------------------------------------------------------------
   1     0 image    1345   299  cmyk    4   8  jpeg   no       224  0   300   300  102K 6.5%
   1     1 image    1345   299  cmyk    4   8  jpeg   no       225  0   300   300  166K  11%
   1     2 image     119   119  index   1   8  image  no       226  0   300   301 2316B  16%
   2     3 image    1134   106  index   1   8  image  no        18  0   457   434 3508B 2.9%
   2     4 image    1141   106  index   1   8  image  no        19  0   439   434 2616B 2.2%
   2     5 image    1140   106  index   1   8  image  no        20  0   440   434 4092B 3.4%
   3     6 image     483   354  index   1   8  image  no        25  0   301   300 8251B 4.8%
   4     7 image     286   313  cmyk    4   8  jpeg   no        29  0   300   300 16.6K 4.7%
   5     8 image     413   332  index   1   8  image  no        36  0   299   302 6782B 4.9%
   5     9 image     813   469  index   1   8  image  no        35  0   433   435 5782B 1.5%
   7    10 image     615   325  index   1   8  image  no        47  0   301   300 33.4K  17%
   7    11 image     615   325  index   1   8  image  no        48  0   301   300 60.6K  31%
   7    12 image     614   325  index   1   8  image  no        49  0   300   301 51.6K  26%
   7    13 image     149   149  index   1   8  image  no        50  0   320   320 4784B  22%
   8    14 image     816   589  index   1   4  image  no       150  0   435   433 3776B 1.6%
   8    15 image     108   108  index   1   8  image  no        55  0   318   318 2728B  23%
  11    16 image     657   458  index   1   8  image  no        66  0   435   434 4354B 1.4%
  16    17 image     816   589  index   1   4  image  no       150  0   435   433 3776B 1.6%
